participant_id,condition_id
S2-P0147,s2_control
S2-P0148,s2_interactive_ai
S2-P0149,s2_static_ai
S2-P0150,s2_static_ai
S2-P0151,s2_control
S2-P0152,s2_static_ai
S2-P0153,s2_control
S2-P0154,s2_interactive_ai
S2-P0155,s2_static_ai
S2-P0156,s2_interactive_ai
S2-P0157,s2_interactive_ai
S2-P0158,s2_control
S2-P0159,s2_static_ai
S2-P0160,s2_interactive_ai
S2-P0161,s2_control
S2-P0162,s2_static_ai
S2-P0163,s2_static_ai
S2-P0164,s2_control
S2-P0165,s2_static_ai
S2-P0166,s2_control
S2-P0167,s2_interactive_ai
S2-P0168,s2_interactive_ai
S2-P0169,s2_control
S2-P0170,s2_static_ai
S2-P0171,s2_interactive_ai
S2-P0172,s2_interactive_ai
S2-P0173,s2_static_ai
S2-P0174,s2_control
S2-P0175,s2_interactive_ai
S2-P0176,s2_interactive_ai
S2-P0177,s2_static_ai
S2-P0178,s2_static_ai
S2-P0179,s2_control
S2-P0180,s2_control
S2-P0181,s2_control
S2-P0182,s2_interactive_ai
S2-P0183,s2_static_ai
S2-P0184,s2_static_ai
S2-P0185,s2_interactive_ai
S2-P0186,s2_control
S2-P0187,s2_static_ai
S2-P0188,s2_interactive_ai
S2-P0189,s2_interactive_ai
S2-P0190,s2_static_ai
S2-P0191,s2_control
S2-P0192,s2_control
S2-P0193,s2_interactive_ai
S2-P0194,s2_static_ai
S2-P0195,s2_static_ai
S2-P0196,s2_control
S2-P0197,s2_interactive_ai
S2-P0198,s2_control
S2-P0199,s2_interactive_ai
S2-P0200,s2_static_ai
S2-P0201,s2_interactive_ai
S2-P0202,s2_control
S2-P0203,s2_static_ai
S2-P0204,s2_control
S2-P0205,s2_static_ai
S2-P0206,s2_control
S2-P0207,s2_interactive_ai
S2-P0208,s2_control
S2-P0209,s2_interactive_ai
S2-P0210,s2_static_ai
S2-P0211,s2_interactive_ai
S2-P0212,s2_static_ai
S2-P0213,s2_control
S2-P0214,s2_control
S2-P0215,s2_static_ai
S2-P0216,s2_interactive_ai
S2-P0217,s2_interactive_ai
S2-P0218,s2_interactive_ai
S2-P0219,s2_control
S2-P0220,s2_static_ai
S2-P0221,s2_static_ai
S2-P0222,s2_control
S2-P0223,s2_control
S2-P0224,s2_control
S2-P0225,s2_interactive_ai
S2-P0226,s2_interactive_ai
S2-P0227,s2_static_ai
S2-P0228,s2_static_ai
S2-P0229,s2_static_ai
S2-P0230,s2_static_ai
S2-P0231,s2_interactive_ai
S2-P0232,s2_interactive_ai
S2-P0233,s2_control
S2-P0234,s2_control
S2-P0235,s2_control
S2-P0236,s2_interactive_ai
S2-P0237,s2_interactive_ai
S2-P0238,s2_static_ai
S2-P0239,s2_control
S2-P0240,s2_static_ai
S2-P0241,s2_interactive_ai
S2-P0242,s2_static_ai
S2-P0243,s2_control
S2-P0244,s2_static_ai
S2-P0245,s2_interactive_ai
S2-P0246,s2_control
S2-P0247,s2_control
S2-P0248,s2_static_ai
S2-P0249,s2_static_ai
S2-P0250,s2_interactive_ai
S2-P0251,s2_interactive_ai
S2-P0252,s2_control
